numberOfData, addingTime, findingTime, deletingTime
1, 3000, 9706600, 12600
2, 1300, 33000, 9300
3, 300, 11100, 7700
4, 300, 13100, 7500
5, 200, 12000, 8100
6, 300, 10300, 7100
7, 300, 10200, 7600
8, 300, 11100, 7200
9, 200, 10200, 7200
10, 300, 10100, 6900
11, 300, 11100, 8000
12, 300, 10900, 7000
13, 300, 10700, 7400
14, 900, 24100, 8500
15, 200, 10400, 7700
16, 300, 11700, 7200
17, 200, 14000, 7300
18, 200, 10200, 8200
19, 700, 10300, 7500
20, 300, 12200, 7300
21, 500, 10100, 7400
22, 300, 10000, 8500
23, 300, 14900, 7800
24, 200, 10000, 6800
25, 300, 10500, 8300
26, 300, 12200, 9200
27, 200, 10400, 7100
28, 1200, 31200, 18600
29, 600, 20200, 9400
30, 400, 9900, 6500
31, 200, 16200, 6300
32, 200, 9900, 12300
33, 300, 8500, 5900
34, 300, 10600, 7000
35, 300, 8400, 6000
36, 300, 8400, 7300
37, 300, 9300, 5800
38, 400, 9000, 6200
39, 300, 8900, 7200
40, 200, 10000, 5500
41, 200, 8500, 5500
42, 300, 7900, 6400
43, 300, 7600, 5100
44, 200, 7600, 5300
45, 300, 8400, 8300
46, 300, 7700, 5300
47, 300, 13500, 6400
48, 200, 7800, 6800
49, 200, 8400, 5500
50, 200, 7600, 5400
51, 200, 8000, 7000
52, 300, 15900, 5800
53, 200, 7400, 5100
54, 200, 6800, 5900
55, 300, 6800, 4500
56, 300, 7000, 5100
57, 200, 6900, 6600
58, 200, 7300, 4800
59, 300, 6800, 5500
60, 200, 12300, 5900
61, 200, 6600, 4900
62, 200, 6500, 4600
63, 300, 7800, 22100
64, 500, 8500, 10100
65, 200, 7900, 4800
66, 200, 7600, 4200
67, 300, 9100, 6000
68, 200, 7200, 4700
69, 200, 7200, 4700
70, 200, 6200, 5400
71, 200, 6400, 4600
72, 200, 7300, 4400
73, 200, 6500, 5600
74, 300, 6900, 4700
75, 200, 9500, 4800
76, 200, 6500, 5400
77, 200, 6300, 4400
78, 300, 9400, 4700
79, 300, 6100, 7200
80, 300, 6900, 4400
81, 200, 8100, 4600
82, 300, 8300, 6200
83, 300, 6600, 4600
84, 400, 7700, 4400
85, 300, 6400, 4200
86, 300, 6400, 4500
87, 200, 8200, 5000
88, 200, 6500, 4400
89, 300, 7600, 5600
90, 300, 7300, 5500
91, 200, 6300, 6000
92, 200, 6200, 4400
93, 200, 6700, 4500
94, 200, 6000, 5100
95, 200, 6000, 4300
96, 200, 5800, 4100
97, 200, 6800, 5600
98, 300, 5800, 4100
99, 200, 6100, 4200
100, 200, 5800, 5100
101, 200, 6100, 4400
102, 200, 6000, 4300
103, 200, 5400, 4900
104, 100, 5800, 4300
105, 200, 5700, 4100
106, 200, 5800, 5100
107, 200, 5500, 4300
108, 200, 6000, 4600
109, 200, 5600, 5300
110, 200, 5800, 4300
111, 300, 6600, 4500
112, 200, 6100, 5400
113, 200, 8000, 4400
114, 200, 6000, 4000
115, 200, 7300, 13100
116, 200, 6800, 5800
117, 300, 16900, 5200
118, 200, 6000, 5300
119, 300, 6300, 4600
120, 200, 5900, 4200
121, 200, 5900, 5300
122, 200, 5100, 3700
123, 200, 5200, 8400
124, 200, 5300, 6600
125, 200, 5100, 3700
126, 300, 5200, 3800
127, 300, 5800, 5700
128, 200, 7500, 8300
129, 400, 5900, 4400
130, 100, 5600, 4800
131, 200, 5600, 3900
132, 300, 6000, 4100
133, 200, 6900, 5500
134, 200, 5900, 4200
135, 200, 6000, 4300
136, 300, 5500, 4800
137, 200, 6300, 4200
138, 200, 5600, 4100
139, 200, 5500, 4800
140, 200, 5400, 3700
141, 200, 5000, 3700
142, 200, 5100, 4500
143, 100, 4800, 3400
144, 200, 5700, 3800
145, 100, 4700, 4400
146, 200, 5400, 4600
147, 200, 6100, 3500
148, 200, 5300, 4600
149, 200, 4800, 3500
150, 200, 5000, 3500
151, 200, 4800, 5000
152, 200, 4700, 3700
153, 200, 5000, 7700
154, 300, 9200, 7100
155, 200, 6400, 4200
156, 300, 5800, 4100
157, 200, 5200, 5300
158, 200, 5300, 3400
159, 100, 5600, 3800
160, 200, 4900, 6000
161, 200, 4900, 4300
162, 200, 5300, 3800
163, 200, 5000, 3700
164, 200, 5200, 4700
165, 200, 5500, 3600
166, 200, 5100, 3300
167, 100, 4800, 4900
168, 200, 5800, 4100
169, 200, 5600, 3800
170, 200, 5200, 6200
171, 100, 4800, 3400
172, 200, 5100, 3700
173, 200, 4700, 4200
174, 200, 5100, 3500
175, 200, 5000, 3300
176, 300, 6800, 5600
177, 200, 5400, 3900
178, 200, 5200, 3900
179, 200, 6200, 8000
180, 100, 4600, 7500
181, 200, 6100, 3900
182, 300, 4600, 5600
183, 200, 4800, 3600
184, 200, 5200, 3600
185, 100, 5500, 5100
186, 200, 4200, 3300
187, 200, 4500, 49600
188, 200, 5700, 4700
189, 200, 4900, 3400
190, 200, 4600, 2900
191, 200, 5700, 6400
192, 200, 7000, 9600
193, 200, 5400, 3900
194, 200, 5500, 4800
195, 200, 5200, 3700
196, 100, 5000, 3300
197, 100, 4700, 4700
198, 100, 7700, 4600
199, 200, 5300, 3500
200, 100, 4900, 4700
201, 600, 19600, 6400
202, 200, 5900, 4200
203, 100, 4700, 4300
204, 100, 4700, 3300
205, 100, 5000, 3400
206, 100, 4200, 6400
207, 100, 4400, 3400
208, 100, 5100, 3200
209, 100, 4900, 4400
210, 200, 4400, 7900
211, 200, 4500, 3100
212, 200, 3900, 4100
213, 100, 3900, 2700
214, 200, 5000, 3900
215, 200, 4800, 11800
216, 200, 4700, 3300
217, 200, 4600, 3600
218, 200, 6200, 9000
219, 200, 7100, 5100
220, 200, 10000, 4700
221, 100, 4500, 4400
222, 100, 4600, 3300
223, 100, 4400, 3300
224, 100, 3700, 4400
225, 100, 4300, 3200
226, 100, 4400, 3300
227, 100, 3800, 4100
228, 100, 3800, 3100
229, 200, 4200, 3100
230, 0, 4600, 4300
231, 100, 3800, 2800
232, 100, 4400, 3100
233, 100, 3800, 4400
234, 100, 3800, 3000
235, 100, 4200, 3200
236, 100, 3700, 4100
237, 100, 3400, 2700
238, 100, 3300, 2600
239, 100, 4000, 11100
240, 0, 4300, 3100
241, 700, 19000, 6800
242, 200, 7200, 4100
243, 200, 8400, 6700
244, 100, 4200, 3900
245, 100, 9100, 3300
246, 100, 4200, 3300
247, 100, 4200, 3000
248, 200, 4400, 2700
249, 100, 5400, 3400
250, 100, 4100, 3300
251, 100, 4800, 4700
252, 100, 3400, 2700
253, 100, 3900, 2800
254, 100, 6600, 2900
255, 200, 6800, 9800
256, 100, 13300, 119900
257, 300, 10400, 6300
258, 200, 5500, 4000
259, 100, 4700, 3300
260, 200, 4800, 3400
261, 100, 4500, 3000
262, 100, 3800, 3000
263, 100, 4600, 2800
264, 200, 6400, 5300
265, 100, 4600, 3200
266, 100, 5000, 2800
267, 100, 3700, 3600
268, 200, 3300, 2600
269, 100, 4300, 2500
270, 200, 4200, 3500
271, 100, 3400, 2800
272, 100, 5600, 2600
273, 100, 3300, 3300
274, 100, 3100, 3600
275, 100, 4300, 2500
276, 100, 3100, 10900
277, 100, 2900, 2400
278, 100, 12700, 3500
279, 100, 3600, 4600
280, 100, 3700, 2600
281, 100, 6400, 3300
282, 100, 3300, 4200
283, 100, 3600, 2500
284, 100, 4100, 2600
285, 100, 3100, 3900
286, 100, 3500, 2900
287, 300, 5800, 3600
288, 100, 4200, 4000
289, 200, 5000, 3800
290, 200, 3600, 2400
291, 100, 3300, 3700
292, 100, 3000, 3500
293, 100, 3100, 2500
294, 100, 2900, 3200
295, 100, 3000, 2400
296, 100, 3300, 2400
297, 100, 2700, 3000
298, 100, 2900, 2300
299, 100, 2900, 2400
300, 100, 3200, 3300
301, 100, 2800, 2300
302, 100, 3300, 2400
303, 100, 3000, 3400
304, 0, 2500, 2200
305, 100, 2700, 2400
306, 100, 2500, 3200
307, 100, 3200, 2200
308, 100, 2700, 2100
309, 100, 3900, 3300
310, 300, 10300, 4500
311, 200, 4700, 2900
312, 200, 4100, 3500
313, 100, 3900, 2800
314, 100, 3600, 2700
315, 100, 2800, 3700
316, 200, 2800, 2800
317, 200, 3500, 3100
318, 100, 4100, 3700
319, 100, 4000, 4000
320, 200, 5400, 104400
321, 400, 55300, 10000
322, 300, 5100, 3400
323, 200, 3900, 2500
324, 100, 5100, 3500
325, 200, 3200, 2200
326, 100, 2600, 2200
327, 100, 2800, 3100
328, 100, 2600, 2300
329, 100, 2500, 2100
330, 100, 2400, 3600
331, 100, 2200, 2500
332, 100, 3500, 2400
333, 200, 5500, 4900
334, 100, 3700, 2700
335, 200, 3000, 3200
336, 100, 3500, 3200
337, 100, 2500, 2400
338, 200, 2400, 3000
339, 100, 2900, 3300
340, 100, 2400, 2300
341, 200, 3900, 2200
